step;game1;game2;avg_loss;per_ab1;per_ab2;avg_l;min_l;max_l;max_weight;sum_total;memory;fr;epsilon;avglossma
21100;84404;250;1,8709;0,6;0,4;0,166;0,063;1;35,289;18583,7;94208;13,4;0,99;1,3343235
21200;84804;252;1,50521;0,6;0,4;0,166;0,063;1;35,289;18887,2;94592;13,1;0,99;1,3329222
21300;85204;253;1,61426;0,6;0,4;0,166;0,063;1;35,289;19102,1;94976;13,4;0,99;1,3349564
21400;85604;254;1,49187;0,6;0,4;0,166;0,063;1;35,289;19315,6;95488;13;0,99;1,3348433
21500;86004;255;1,47798;0,6;0,4;0,166;0,063;1;35,289;19550,1;95872;13,5;0,99;1,3359306
21600;86404;256;1,36314;0,6;0,4;0,166;0,063;1;35,289;19726,6;96256;13,2;0,99;1,3373321
21700;86804;257;1,40328;0,6;0,4;0,166;0,063;1;35,289;19942,7;96640;13,4;0,99;1,3391227
21800;87204;258;1,48166;0,6;0,4;0,166;0,063;1;35,289;20141,9;97024;13,5;0,99;1,3408347
21900;87604;259;1,41848;0,6;0,4;0,166;0,063;1;35,289;20295,5;97408;13;0,99;1,3421964
22000;88004;260;1,44769;0,6;0,4;0,166;0,063;1;35,289;20546,1;97792;12,6;0,99;1,3442913
22100;88404;261;1,41218;0,6;0,4;0,166;0,063;1;35,289;20687,9;98176;12,6;0,99;1,3470225
22200;88804;261;1,38134;0,6;0,4;0,166;0,063;1;35,289;20784,5;98560;13,7;0,99;1,3498911
22300;89204;262;1,39547;0,6;0,4;0,166;0,063;1;35,289;20939,6;99072;12,4;0,99;1,3527484
22400;89604;264;1,41666;0,6;0,4;0,166;0,063;1;35,289;21055,5;99456;13,2;0,99;1,3553781
22500;90004;265;1,32041;0,6;0,4;0,166;0,063;1;35,289;21221,6;99840;13,2;0,99;1,3566769
22600;90404;266;1,31968;0,6;0,4;0,166;0,063;1;35,289;21399,8;100224;13,2;0,99;1,3585004
22700;90804;267;1,47631;0,6;0,4;0,166;0,063;1;35,289;21563,1;100608;13;0,99;1,3607615
22800;91204;268;1,2999;0,6;0,4;0,166;0,063;1;35,289;21660,7;100992;13;0,99;1,3605047
22900;91604;269;1,39907;0,6;0,4;0,166;0,063;1;35,289;21826,9;101376;13,6;0,99;1,3635278
23000;92004;270;1,47483;0,6;0,4;0,166;0,063;1;35,289;21971,6;101760;12,7;0,99;1,3646606
23100;92404;271;1,30202;0,6;0,4;0,166;0,063;1;35,289;22131,7;102272;12,6;0,99;1,3648699
23200;92804;272;1,46104;0,6;0,4;0,166;0,063;1;35,289;22264,8;102656;12,9;0,99;1,3665531
23300;93204;274;1,45126;0,6;0,4;0,166;0,063;1;35,289;22366,5;103040;13,1;0,99;1,3670569
23400;93604;275;1,34397;0,6;0,4;0,166;0,063;1;35,289;22470,8;103424;13;0,99;1,3673646
23500;94004;276;1,38666;0,6;0,4;0,166;0,063;1;35,289;22547,6;103808;12,9;0,99;1,3679448
23600;94404;277;1,24948;0,6;0,4;0,166;0,063;1;35,289;22658,9;104192;12,5;0,99;1,3685875
23700;94804;278;1,41917;0,6;0,4;0,166;0,063;1;35,289;22759,8;104576;12,7;0,99;1,3699619
23800;95204;279;1,27696;0,6;0,4;0,166;0,063;1;35,289;22856,1;104960;12,8;0,99;1,3700049
23900;95604;280;1,24126;0,6;0,4;0,166;0,063;1;35,289;22959,2;105344;11,7;0,99;1,3730233
24000;96004;281;1,56115;0,6;0,4;0,166;0,063;1;35,289;23121;105856;12,7;0,99;1,3751425
24100;96404;282;1,44672;0,6;0,4;0,166;0,063;1;35,289;23287,4;106240;11,5;0,99;1,3742997
24200;96804;283;1,33482;0,6;0,4;0,166;0,063;1;35,289;23430,3;106624;11,6;0,99;1,3743229
24300;97204;284;1,29757;0,6;0,4;0,166;0,063;1;35,289;23529,4;107008;11,6;0,99;1,374435
